"选手ID","国籍","队伍","位置","年龄","TI次数"
"twiSta","Albania","","Support","","0"
"DDX-","Argentina","","Mid","35","0"
"Hermit","Argentina","","Offlane","24","0"
"wij","Argentina","","Support","32","0"
"Bruno","Argentina","","Other","","0"
"Andros","Australia","1620 Kings","Support","","0"
"Calvin","Australia","","Support","","0"
"Loski","Australia","","Mid","","0"
"Matino","Australia","","Support","","0"
"RogerDodger","Australia","","Support","","0"
"SLiCKz","Australia","","Mid","","0"
"Snoopy","Australia","","Support","","1"
"Splicko","Australia","","Carry","","0"
"TEKCOR","Australia","","Offlane","","0"
"Velo","Australia, South Korea","","Offlane","31","0"
"XemistrY","Australia","","Mid","","0"
"ana","Australia","","Carry","26","3"
"balla","Australia","","Carry","","0"
"cas158","Australia","","Support","","0"
"lordboonz","Australia","","Support","","0"
"miggeL.Z","Australia, Philippines","","Mid","","0"
"r1sk","Australia","","Support","","0"
"rin","Australia","","Support","","0"
"shatan","Australia","","Support","","1"
"xMusiCa","Australia, Singapore","","Other","35","1"
"xRag","Australia, Philippines","","Support","30","0"
"Basskip","Australia, South Africa","","Other","33","0"
"Cognus","Australia","","Other","","0"
"Danelie","Australia","","Other","","0"
"GoDz","Australia","","Other","36","0"
"Godot","Australia","","Offlane","34","1"
"Poglet","Australia","","Other","","0"
"TobiWan","Australia, United Kingdom","","Other","41","0"
"kpii","Australia","Aurora Gaming","Coach","33","6"
"Tobi","Austria","","Carry5","29","3"
"Ainkrad","Belarus","Level UP","Mid","26","0"
"Astral","Belarus","","Support","28","0"
"Ergon","Belarus","","Mid","","0"
"Fishman","Belarus","Nemiga Gaming","Carry5","30","3"
"HappyDyurara","Belarus","","Support","28","0"
"Hellscream","Belarus","Virtus.pro","Support","25","0"
"Jackal","Belarus","","Carry","","0"
"Killomancer","Belarus","","Support","28","0"
"Mastery","Belarus","","Offlane","27","0"
"Moonlight","Belarus","","Carry","","0"
"OneJey","Belarus","","Support","21","0"
"Palantimos","Belarus","","Carry","29","0"
"RESPECT","Belarus","L1GA TEAM","Carry5","25","2"
"Smiling Knight","Belarus","","Carry","25","1"
"Sunlight","Belarus","","Support","30","0"
"chshrct","Belarus","","Offlane","35","0"
"dizzying","Belarus","","Carry","26","0"
"foryou","Belarus","","Mid","23","0"
"ififall","Belarus","","Offlane","24","0"
"klassnokruto","Belarus","SIBE Team","Offlane","26","0"
"kur0patbI4","Belarus","","Support","25","0"
"panto","Belarus","MOUZ","Carry4","27","1"
"pio65","Belarus","","Carry","26","0"
"so bad","Belarus","","Support","30","0"
"sohy","Belarus","SIBE Team","Support","28","0"
"wejustzik","Belarus","","Support","34","0"
"young G","Belarus","Nemiga Gaming","Mid","25","0"
"zxc","Belarus","","Carry","","0"
"Ряф^^","Belarus","","Mid","24","0"
"Fng","Belarus","","Support","30","3"
"Mila","Belarus","","Other","35","0"
"RoMaLL1Ka","Belarus","","Coach","34","0"
"j4","Belarus","Power Rangers","Coach","34","1"
"Davai","Belgium, United States","Nigma Galaxy","Offlane","26","2"
"BlackSoul","Bolivia","","Mid","27","0"
"Lissex","Bolivia","","Offlane","27","0"
"Michael-","Bolivia","","Support","27","0"
"Mingatte","Bolivia","","Support","25","0"
"Oscar","Bolivia","Amaru Gaming","Offlane","32","0"
"Tano","Bolivia","","Mid","","0"
"Wisper","Bolivia, Argentina","LGD Gaming","Mid","24","6"
"MiLAN","Bosnia and Herzegovina, Serbia","Team Spirit","Coach","31","2"
"444","Brazil","","Support","31","0"
"4dr","Brazil","","Mid","33","1"
"4nalog","Brazil","","Mid","25","4"
"Arms","Brazil","","Carry","30","0"
"Baga","Brazil","","Support","32","0"
"Costabile","Brazil","","Carry","31","2"
"Duster","Brazil","","Support","26","1"
"Gambling","Brazil","","Support","","0"
"KJ","Brazil","LGD Gaming","Carry5","26","5"
"Klotz22","Brazil","","Carry","","0"
"LTH","Brazil","","Support","30","0"
"Lanaro","Brazil","","Mid","26","0"
"Lelis","Brazil, United States","","Support","29","4"
"Mandy","Brazil","","Carry","27","0"
"NS-ART","Brazil","","Offlane","","0"
"Nedbone","Brazil","","Support","","0"
"PAADA","Brazil","paiN Gaming","Support","37","0"
"Rayuur","Brazil","","Mid","27","0"
"RdO","Brazil","","Support","24","0"
"SexyFat","Brazil","","Offlane","23","0"
"Sooths","Brazil","","Mid","","0"
"Therence","Brazil","","Carry","31","0"
"Thiolicor","Brazil","LGD Gaming","Carry4","27","3"
"Yanbura","Brazil","","Support","25","0"
"bardo","Brazil","","Support","","0"
"c4t","Brazil","","Support","33","0"
"dunha1","Brazil","","Support","31","0"
"hFn","Brazil","","Carry","28","1"
"hyko","Brazil","","Offlane","26","0"
"mini","Brazil","","Carry","26","0"
"murdOc","Brazil","","Mid","","0"
"nuages","Brazil","","Support","30","0"
"pimpolho","Brazil","","Support","32","0"
"tavo","Brazil","","Offlane","31","2"
"Aedrons","Brazil","","Other","","0"
"Bego","Brazil","","Other","36","0"
"Flytable","Brazil","","Other","45","0"
"H1j4ck","Brazil","","Coach","30","0"
"Jupiter","Brazil","Avalanche eSports","Coach","28","0"
"Kingrd","Brazil","","Coach","34","2"
"Leonardo LML","Brazil","","Other","40","0"
"Lil_kin6","Brazil","","Support","30","0"
"Luiziin","Brazil","","Other","36","0"
"dpms","Brazil","MOUZ","Coach","25","0"
"fcr","Brazil","LGD Gaming","Coach","25","1"
"oldR","Brazil","","Coach","33","0"
"Bashruk","Bulgaria","","Support","29","0"
"CTOMAHEH1","Bulgaria","","Support","31","0"
"Kikoni","Bulgaria","","Mid","","0"
"Mastermind","Bulgaria","","Mid","29","0"
"Nikobaby","Bulgaria","","Carry","29","2"
"SlashStrike","Bulgaria","","Mid","","0"
"bzm","Bulgaria","1w Team","Mid","21","3"
"lil pleb","Bulgaria","","Carry","27","0"
"MinD_ContRoL","Bulgaria","REKONIX","Coach","31","5"
"1437","Canada","","Support","32","5"
"Arteezy","Canada, Uzbekistan","","Carry","30","9"
"B","Canada","","Support","","1"
"Bryle","Canada","","Mid","25","3"
"EternaLEnVy","Canada","","Carry","35","5"
"Froogoss","Canada","","Support","","0"
"Jeyo","Canada, Philippines","","Support","33","1"
"Jubei","Canada","","Support","","0"
"OmegaPwner","Canada, China","","Offlane","","0"
"Papatooty","Canada, Lebanon","","Mid","","0"
"PatSoul","Canada, China","","Offlane","","0"
"Raylalisa","Canada","","Mid","","0"
"TC","Canada","","Carry","34","3"
"TingleK1ng","Canada","","Offlane","","0"
"Vol","Canada","","Mid","","0"
"Zore","Canada","","Offlane","27","0"
"boris","Canada","","Support","29","0"
"brink","Canada","","Mid","","0"
"high_shaggy","Canada, Pakistan","","Mid","26","0"
"iAnnihilate","Canada","","Mid","32","0"
"lukiluki","Canada","","Offlane","28","0"
"pingu","Canada","","Support","26","0"
"xuan","Canada, China","","Support","","0"
"Aui_2000","Canada","Team Falcons","Coach","33","4"
"Conrad","Canada","","Other","","0"
"Fronz","Canada","","Other","","0"
"MoonMeander","Canada, Malaysia","1w Team","Coach","34","4"
"Waytosexy","Canada, Vietnam","","Coach","32","2"
"555","Chile","","Support","26","0"
"Moonlight","Chile","","Support","29","0"
"290","China","","Mid","","0"
"7e","China","","Mid","25","1"
"820","China","Old Boys","Support","36","1"
"876","China","","Support","31","0"
"897","China","","Mid","29","0"
"928","China","","Support","28","0"
"ASD","China","","Carry","27","0"
"Agressif","China","","Carry","34","3"
"Air","China","","Mid","","0"
"Ame","China","Xtreme Gaming","Carry","29","8"
"Aq","China","","Mid","26","0"
"Ash","China","","Mid","27","0"
"shadow","China","","Carry","29","1"
"Awoke","China","","Support","38","2"
"Ayo","China","","Support","32","0"
"Ayunid","China","","Offlane","30","0"
"Beyond","China","","Offlane","30","2"
"BinGo","China","","Offlane","","0"
"BoBoKa","China","Team Refuser","Carry4","29","6"
"ButterflyEffect","China","","Mid","29","0"
"CatYou","China","","Support","27","0"
"Chalice","China","","Offlane","27","4"
"Chao","China","","Mid","","0"
"ChaoYue","China","","Carry","30","0"
"Chola","China","","Support","24","0"
"Cookie bear","China","","Offlane","","0"
"Cty","China","","Carry","31","1"
"Cy","China","","Support","33","0"
"DD","China","Old Boys","Support","35","4"
"DDR","China","","Support","33","0"
"Dev1ce","China","","Offlane","28","0"
"Django","China","","Support","32","0"
"Docres","China","","Support","30","0"
"Downtown Baby","China","","Mid","31","0"
"DreamyU","China","","Support","","0"
"Drink","China","","Support","27","0"
"Dstones","China","","Mid","30","0"
"Dust","China","","Carry","27","0"
"Dy","China","","Carry5","29","3"
"Echo","China","Team Resilience","Mid","25","1"
"Emo","China","Yakult Brothers","Mid","25","2"
"Erika","China","Team Resilience","Carry","26","3"
"Eve","China","","Carry","29","0"
"FaN","China","","Carry","","0"
"Faith_bian","China","Vici Gaming","Offlane","28","5"
"Ferrari_430","China","","Mid","36","5"
"Flyby","China","","Offlane","29","1"
"Fonte","China","","Carry","29","0"
"Frisk","China","","Support","30","2"
"GOD_Z","China, Canada","","Support","34","0"
"Garder","China","","Support","37","1"
"Han","China","","Mid","25","0"
"Hao","China","Old Boys","Carry","36","6"
"Hara","China","","Support","30","0"
"Hmx","China","","Carry","32","0"
"HuiHui","China","","Support","30","0"
"Hy","China","","Support","32","0"
"Hym","China","","Support","28","0"
"ISI","China","","Carry","28","0"
"Icy","China","","Support","35","1"
"InJuly","China","","Offlane","33","1"
"Inflame","China","","Offlane","33","1"
"Irving","China","","Offlane","27","0"
"J","China","Xtreme Gaming","Carry","28","0"
"JiaJia","China","","Carry","30","0"
"Jin","China","","Other","","0"
"Jixing","China","Team Serenity","Offlane","32","0"
"Just","China","","Carry","28","0"
"Kagome","China","","Carry","27","0"
"Kaka","China","Yakult Brothers","Carry4","33","6"
"Kamma","China","","Carry","29","1"
"Kazz","China","","Support","31","0"
"KingJ","China","","Offlane","37","2"
"Ksssssss","China","","Other","","1"
"L'enfer, c'est les autres","China","","Carry","25","0"
"Last","China","","Support","29","0"
"Lin","China","","Carry","30","1"
"LongDD","China","Old Boys","Support","38","1"
"LongGGG","China","","Offlane","","0"
"Lou","China","Yakult Brothers","Carry","24","1"
"LuLu^^","China","","Carry","","0"
"Lww","China","","Support","27","0"
"Lwy","China","","Offlane","31","0"
"M77","China","","Carry","","0"
"MMY!","China","","Support","36","6"
"Manic","China","","Carry","25","0"
"Meliodas","China","","Offlane","29","0"
"MelodyLovers","China","","Support","36","0"
"Mercy","China","","Support","29","0"
"Mofi","China","","Other","","0"
"Monet","China","Team Refuser","Carry","26","5"
"Moogy","China","","Carry","32","2"
"Ms","China","","Support","27","0"
"Mu","China","Old Boys","Mid","36","5"
"NeaR","China","","Support","","0"
"NeverEnd","China","","Carry","36","2"
"Nono","China","","Mid","","1"
"Ori","China","","Mid","31","4"
"Origami","China","","Support","","0"
"Outside","China","","Support","30","1"
"PCT","China","","Offlane","","1"
"Paparazi灬","China","Team Refuser","Mid","30","4"
"Piao","China","","Mid","30","0"
"PrettyHaw","China","","Support","33","0"
"Protoss","China","","Support","","0"
"Puer tea","China","","Carry","","0"
"Pyw","China","Team Refuser","Carry4","31","2"
"Q","China","","Carry4","33","3"
"QAZ","China","","Support","33","0"
"RAI","China","","Offlane","","0"
"Rabbit","China","","Carry","","2"
"Ran","China","","Support","","0"
"RanFuDao","China","","Support","25","0"
"RedPanda","China","","Support","30","0"
"Rico","China","","Support","27","0"
"Rong","China","","Support","","0"
"Sakata","China","","Mid","31","1"
"SangSang","China","","Support","30","0"
"September","China","","Support","31","0"
"Setsu","China","","Mid","27","1"
"Shaker","China","","Support","","0"
"Shiki","China","","Mid","33","1"
"Shining","China","The Last Dark","Offlane","27","0"
"Small.Kk","China","","Mid","25","0"
"Sober","China","","Support","30","0"
"Somnus","China","Azure Ray","Mid","30","8"
"Son Goku","China","","Offlane","31","1"
"Srf","China","","Offlane","28","1"
"SryFox","China","","Offlane","","0"
"Storm","China","","Mid","31","0"
"Summer","China","","Carry","27","0"
"Sylar","China","","Carry","32","5"
"TK","China","","Support","25","0"
"Tone","China","","Support","","0"
"TuTu","China","","Carry","","0"
"Ty","China","","Support","28","0"
"Tz.","China","","Carry","28","0"
"Tzy丶","China","","Offlane","32","0"
"Ulu","China","","Carry","23","0"
"Undyne","China","","Support","25","0"
"Waixi","China","","Support","29","0"
"White丶Album","China","","Mid","28","1"
"Wizard","China","","Offlane","27","0"
"XCJ","China","","Support","31","1"
"XDD","China","","Support","","0"
"Xi","China","","Support","35","3"
"XiaoXiaoSala","China","","Support","","0"
"XinQ","China","Vici Gaming","Carry4","28","6"
"Xm","China","Vici Gaming","Mid","27","3"
"Xwy","China","","Mid","27","1"
"Xxs","China","Xtreme Gaming","Offlane","26","7"
"Xyz","China","","Offlane","29","0"
"YRG","China","","Mid","32","0"
"YYF","China","Old Boys","Offlane","39","3"
"Yang","China","Team Refuser","Offlane","29","3"
"YaphetS","China","","Mid","36","0"
"Yds.","China","","Support","28","0"
"Yif","China","","Support","31","0"
"Yin","China","","Mid","","0"
"Yp","China","","Support","30","0"
"ZSMJ","China","Old Boys","Carry","36","0"
"ZeroPerfect","China","","Offlane","33","0"
"Zhen_Xshen","China","","Support","34","0"
"Zhou","China","Old Boys","Carry","36","3"
"Zyd","China","","Mid","","1"
"black.z","China","","Carry","","0"
"bobo","China","","Carry","28","0"
"carrot","China","","Offlane","","0"
"csj","China","","Offlane","25","0"
"dark","China","","Support","","1"
"destiny","China","","Support","","0"
"detachment","China","","Support","26","0"
"dolem","China","","Offlane","28","0"
"doodle","China","","Carry","30","0"
"eGo","China","","Carry","25","0"
"ex","China","","Mid","29","0"
"flyfly","China","","Carry","29","3"
"fy","China","Xtreme Gaming","Carry4","31","8"
"ghost","China","","Offlane","","0"
"goking","China","","Support","","0"
"guoguo","China","","Support","31","0"
"iceice","China","","Carry4","30","1"
"idc","China","","Carry","30","0"
"imitator","China","","Support","27","0"
"kaidou","China","","Offlane","","0"
"longb","China","","Support","33","0"
"loveyouloveme","China","","Mid","","0"
"lt","China","","Support","34","0"
"maomao","China","","Mid","","0"
"marlin","China","","Support","","0"
"molasses","China","","Offlane","31","0"
"mool","China","","Offlane","31","0"
"niu","China","Team Resilience","Offlane","25","2"
"old chicken","China","","Mid","33","2"
"old eLeVeN","China","","Offlane","30","5"
"once.","China","","Carry","27","0"
"phoenix","China","","Mid","28","0"
"planet","China","Team Resilience","Carry4","28","3"
"pp","China","","Mid","28","0"
"qianqian","China","","Offlane","","0"
"qyqx","China","","Support","28","0"
"sheep","China","","Support","24","0"
"shiro","China","Vici Gaming","Carry","25","3"
"sj","China","","Support","30","0"
"sss","China","","Carry","32","0"
"strawberry","China","","Support","30","0"
"sugar baby","China","","Support","31","0"
"xiaofu","China","","Offlane","29","0"
"xixi","China","","Support","","0"
"xy-","China","","Mid","","0"
"yChen","China","","Mid","30","0"
"y`","China","Vici Gaming","Carry5","28","6"
"yoona","China","","Support","31","0"
"yxb","China","","Support","","0"
"yxm","China","","Mid","","0"
"zc","China","","Mid","31","0"
"zhi!","China","","Offlane","33","0"
"zone-","China","","Mid","28","0"
"zzq","China","Team Resilience","Carry5","28","2"
"三无marblue","China","","Carry","25","0"
"冬","China","","Carry","23","0"
"圣子华炼","China","","Carry","28","0"
"垃圾君","China","","Support","","0"
"天命","China","Yakult Brothers","Carry5","30","1"
"惊魂chen","China","","Offlane","29","0"
"生死","China","","Offlane","28","0"
"白也","China","","Carry","29","0"
"皮球","China","","Carry5","30","1"
"闷油瓶","China","","Support","31","0"
"阿香","China","","Support","31","0"
"项羽","China","Yakult Brothers","Offlane","22","0"
"鱼王","China","","Support","30","0"
"2009","China","","Mid","39","0"
"5400","China","","Other","32","0"
"71","China","","Coach","45","0"
"78","China","","Other","36","0"
"86","China","","Coach","34","0"
"@dogf1ghts","China","","Coach","30","1"
"Banana","China","","Coach","39","5"
"BurNIng","China","","Coach","38","5"
"Chisbug","China","","Coach","37","0"
"DoDo","China","","Coach","33","0"
"Faith","China","","Coach","34","7"
"Fenrir","China","","Coach","37","4"
"Fyms","China","","Other","38","0"
"God_7","China","","Coach","33","0"
"Kabu","China","","Coach","34","3"
"Key","China","","Coach","38","1"
"Kiko","China","","Other","27","0"
"LaNm","China","Xtreme Gaming","Coach","36","9"
"Li","China","","Coach","","0"
"Lpc","China","","Coach","36","0"
"Mikasa","China","","Coach","39","1"
"Mrrr","China","","Other","31","0"
"Op","China","","Coach","34","1"
"QQQ","China","","Coach","40","3"
"SanSheng","China","Old Boys","Coach","37","5"
"Sccc","China","","Carry","30","2"
"Super","China","Team Resilience","Coach","33","6"
"Xtt","China","","Coach","","0"
"Xz","China","","Coach","33","1"
"Yao","China","Vici Gaming","Coach","35","6"
"ZippO","China","Old Boys","Coach","","1"
"bLink","China","","Coach","34","1"
"rOtK","China","","Coach","34","4"
"super","China","","Coach","36","1"
"xiao8","China","","Coach","37","6"
"dnz","Croatia","","Support","31","0"
"Lacoste","Croatia","","Offlane","38","2"
"Mitch","Croatia","Zero Tenacity","Coach","34","0"
"vandersar","Croatia, Ukraine","","Other","28","0"
"Ade","Czechia","","Offlane","30","0"
"BOOM","Czechia","MOUZ","Offlane","26","1"
"CURRY","Czechia","","Carry","29","0"
"Mambos","Czechia","","Mid","29","0"
"Muf","Czechia","","Support","27","0"
"Offak","Czechia","","Support","","0"
"SabeRLight-","Czechia","Virtus.pro","Offlane","25","4"
"Sehny","Czechia","DGG Esports","Support","35","0"
"Supream^","Czechia","","Mid","25","0"
"Tipek","Czechia","","Offlane","29","0"
"craNich","Czechia","","Support","","1"
"profheadshot","Czechia","","Carry","","0"
"Ace","Denmark","Team Liquid","Offlane","32","6"
"Balsam","Denmark","","Carry","34","1"
"Biver","Denmark","","Support","29","0"
"Cr1t-","Denmark","Team Falcons","Carry4","30","10"
"HesteJoe-Rotten","Denmark","","Offlane","35","0"
"Hyac","Denmark","","Support","","0"
"Link","Denmark","","Carry","34","1"
"MaNia","Denmark","","Support","41","1"
"Noia","Denmark","","Support","37","0"
"OwnedMe","Denmark","","Offlane","29","0"
"PlaymatE","Denmark","","Other","37","1"
"Ryze","Denmark","","Support","37","1"
"Solen","Denmark","","Support","34","0"
"miGGel","Denmark","","Offlane","38","1"
"slahser","Denmark","","Support","","0"
"unicornxoxo","Denmark","","Carry","","0"
"13abyKnight","Denmark","Cloud9","Mid","34","0"
"MISERY","Denmark","","Coach","35","7"
"Maelk","Denmark","","Support","40","2"
"N0tail","Denmark, Faroe Islands","","Coach","32","8"
"syndereN","Denmark","","Support","36","4"
"Sebas","Ecuador","","Mid","22","0"
"sl4d1n-","Ecuador","Infamous","Support","","0"
"Ankou ♡","Estonia","RE Arise","Offlane","25","0"
"Puppey","Estonia","PARIVISION","Coach","36","11"
"Buugi","Finland","","Offlane","32","0"
"Lapiz","Finland","","Other","","0"
"MATUMBAMAN","Finland","","Carry","31","6"
"MTD","Finland","","Mid","25","0"
"Niqua","Finland, Sweden","","Offlane","33","0"
"Notah","Finland","","Support","","0"
"Ouker","Finland","","Carry","","0"
"Peksu","Finland","","Support","30","0"
"Sifla","Finland","","Other","","0"
"Spin","Finland","","Other","","0"
"Topson","Finland","LGD Gaming","Mid","28","6"
"Trixi","Finland","","Offlane","36","2"
"Vaalix","Finland","","Support","30","0"
"mrls","Finland, Russia","","Support","20","0"
"nemphy","Finland","","Mid","29","0"
"JerAx","Finland","","Coach","34","5"
"okcya","Finland","","Coach","34","0"
"Carn","France","","Carry","","0"
"Ceb","France, Lebanon","","Support","34","4"
"Dayshi","France","","Support","32","0"
"Funzii","France","","Mid","","1"
"Joraal","France","","Carry","32","0"
"Tib","France","","Offlane","","0"
"marSu","France","","Offlane","37","0"
"Hugo","France","","Support","36","0"
"Sockshka","France","","Coach","33","2"
"Nande","Georgia","","Carry","24","0"
"W1sh-","Georgia","","Mid","28","0"
"5up","Germany, Tunisia","","Support","25","0"
"Atze","Germany","","Support","","0"
"Blazemon","Germany","","Mid","30","0"
"Copy","Germany","Rune Eaters","Mid","25","1"
"Crydasia","Germany","","Offlane","","0"
"Exist","Germany","","Mid","33","0"
"Fata","Germany","","Mid","33","8"
"H4nn1","Germany","","Support","","2"
"Kebap","Germany","","Support","","2"
"MaGoma","Germany","","Support","","0"
"Mo13ei","Germany","","Mid","28","0"
"Nine","Germany, Russia","","Mid","28","2"
"Qupe","Germany","","Support","30","0"
"RMC","Germany","","Support","","0"
"Stormstormer","Germany","","Mid","28","2"
"TheBloodySky","Germany","","Offlane","26","0"
"german player","Germany","","Support","","0"
"hex0r","Germany","","Other","35","0"
"paS","Germany","","Support","33","2"
"tOfu","Germany, South Korea","Team Liquid","Carry4","29","4"
"wwieWambo","Germany","","Support","31","0"
"Alex","Germany","","Coach","34","0"
"Aonir","Germany","","Other","","0"
"Ascendancy","Germany","","Mid","","0"
"Black^","Germany","","Carry","33","2"
"KheZu","Germany","","Offlane","31","3"
"KuroKy","Germany","Nigma Galaxy","Coach","33","9"
"Qojqva","Germany","Team Liquid","Carry","30","4"
"rmN-","Germany, Russia","","Coach","32","1"
"Focus","Greece","","Carry","29","0"
"Keyser","Greece","","Mid","30","1"
"Madara","Greece, United Kingdom","","Carry","29","0"
"Maybe Next Time","Greece","","Support","33","0"
"ReaLaxXx","Greece","Team RAAZ","Offlane","35","0"
"SkyLark","Greece","","Offlane","29","0"
"SsaSpartan","Greece","","Support","32","0"
"ThuG","Greece","","Mid","32","0"
"dEsire","Greece","Zero Tenacity","Support","29","0"
"ntakii","Greece, Sweden","","Mid","27","0"
"SKANKS224","Greece","","Coach","","0"
"lowskill","Hungary","","Carry","26","0"
"A35","India","","Offlane","32","0"
"BlizzarD","India","","Carry","30","0"
"Crowley","India","","Offlane","29","0"
"Krish","India","","Carry","23","0"
"NO_Chanc3","India","","Support","34","0"
"Negi","India","","Support","","0"
"Swifty","India","","Mid","30","0"
"2hoi","Indonesia","","Support","","0"
