"选手ID","国籍","队伍","位置","年龄","TI次数"
"Rap Rap","Myanmar","Team Veteran","Support","","0"
"ShowTi","Myanmar","Yangon Galacticos","Offlane","31","0"
"Skill Lay","Myanmar","Yangon Galacticos","Support","28","0"
"Young PH","Myanmar","Yangon Galacticos","Carry","22","0"
"Crystallis","Netherlands","MOUZ","Carry","24","2"
"Dutch_Freak","Netherlands","","Support","","0"
"Seleri","Netherlands","","Carry5","27","3"
"SexyBamboe","Netherlands","","Offlane","34","1"
"Shad","Netherlands","","Carry","26","0"
"SingSing","Netherlands","","Mid","35","2"
"Fury","New Zealand","","Support","","0"
"Loseyourself","New Zealand, Australia","","Carry","","0"
"DareDevilDan","New Zealand","","Other","","0"
"Yuma","Nicaragua, Belgium","LGD Gaming","Carry","25","3"
"Nofear","Non-representing, Russia","RE Arise","Coach","33","1"
"Andrej Porjazovski","North Macedonia","","Mid","","0"
"Saksa","North Macedonia","Team Yandex","Carry4","31","7"
"Stojkov","North Macedonia","IC x Insanity","Mid","27","0"
"Taiga","Norway","","Support","28","2"
"SumaiL","Pakistan, United States","Nigma Galaxy","Mid","27","8"
"Accel","Peru","","Support","30","1"
"Adrian","Peru","","Offlane","24","0"
"Alone","Peru","","Mid","21","0"
"Aretes","Peru","","Support","","0"
"Argius","Peru","","Carry","26","0"
"Arkano","Peru","","Offlane","26","0"
"ArzenT","Peru","","Offlane","30","0"
"Atun","Peru","","Mid","","0"
"Benny","Peru","","Carry","29","0"
"Berna","Peru","","Carry","27","0"
"Braxie-","Peru, United States","","Support","28","0"
"CHAAANNN","Peru","Infamous","Support","30","0"
"Cara","Peru","","Offlane","27","0"
"Chris Luck","Peru","","Mid","28","4"
"Cucahook","Peru","","Carry","26","0"
"D1smar","Peru","","Support","","0"
"DCMC","Peru","","Carry","25","0"
"DaaD-","Peru","Flame Esports","Carry","25","0"
"DarkMago","Peru","","Mid","27","2"
"Dark_Demon","Peru","","Support","25","0"
"Drakeel","Peru","","Offlane","","0"
"Elmisho","Peru","PlayTime","Carry5","24","1"
"FeelinG","Peru","","Support","27","0"
"Frank","Peru","","Offlane","26","1"
"Gardick","Peru","Hokori","Support","28","1"
"Genek","Peru","Amaru Gaming","Support","25","0"
"Greedy","Peru","","Offlane","","0"
"ILICH-","Peru","","Offlane","23","1"
"JachiTo","Peru","","Mid","27","0"
"Jeimari","Peru","","Mid","30","0"
"JimmyCoff666","Peru","","Support","24","0"
"K1","Peru","Amaru Gaming","Carry","25","5"
"Kingteka","Peru","","Offlane","28","1"
"Kiri <","Peru","","Support","23","0"
"Kotaro","Peru","","Carry","29","1"
"Leostyle-","Peru","","Mid","31","1"
"Luis","Peru","CDUB Esports","Offlane","23","0"
"Luis","Peru","","Support","22","0"
"Lumière","Peru","Hokori","Mid","26","1"
"Lumpy","Peru","Hokori","Mid","23","1"
"Madara","Peru","","Carry","29","0"
"Matthew","Peru","","Support","28","3"
"Migi","Peru","","Mid","","0"
"Mjz","Peru","","Support","25","2"
"MoOz","Peru","Zero Tenacity","Support","28","2"
"MonHty","Peru","","Support","23","0"
"Mr.Jeans","Peru","","Mid","26","0"
"Pakazs","Peru","Flame Esports","Carry","25","2"
"Panda","Peru","Amaru Gaming","Support","26","2"
"Parker","Peru","","Carry","24","1"
"PiPi","Peru","Amaru Gaming","Mid","23","0"
"Prada","Peru","","Support","28","0"
"RedMonster","Peru","","Support","30","0"
"Rena","Peru","","Carry","27","0"
"Robo-Z","Peru","","Mid","25","0"
"SLATEM$","Peru","","Mid","22","1"
"Sacred","Peru","","Offlane","25","2"
"Scofield","Peru","PlayTime","Carry4","28","6"
"SexyeYogye","Peru","","Support","28","0"
"Shaka","Peru","","Support","23","0"
"Slaw","Peru","Inverse","Support","","0"
"SmAsH","Peru","","Mid","","0"
"Smoker","Peru","","Support","29","0"
"Stinger","Peru","","Support","29","4"
"Sueño","Peru","","Mid","","0"
"Sword","Peru","","Offlane","29","0"
"TaO","Peru","","Mid","","0"
"TaiLung","Peru","LGD Gaming","Mid","17","1"
"Tiares","Peru","","Carry","27","0"
"Timado","Peru","Virtus.pro","Carry","25","4"
"Timo","Peru","","Carry","","0"
"Vitaly","Peru","Hokori","Offlane","27","2"
"Wits","Peru","PlayTime","Carry","18","0"
